,sentence,useful
0,System Features Torrent Search Description and Priority The user will give a search term that will search through a database of compatible torrent websites added by the development team,1
1, The results of this search will be displayed as web links in a tab on the program's main window,1
2, This is one of the software's main features and therefore has a high priority for development,1
3, Stimulus/Response Sequences User ticks the torrent tick box – the system will now query the torrent websites in its database when a search is started,1
4, The user enters the search term and starts the search – system sends queries to the torrent websites in its database based on the search term,1
5," Results for this query will then be sent to the torrent tab in the program, where they will display information such as website, seeds, peers, size, date posted, and a link for the webpage",1
6, The user sorts the search results by clicking once on a column header – the system sorts all results in descending/ascending order,1
7, The user clicks on the next page button – the system displays the next set of results for the search,1
8, Functional Requirements Torrent search will share the same search bar as the streaming search,1
9, REQ-2: The database of torrent sites can be updated via the internet,1
10, There will be a tick box to allow the user to choose to include torrent searching in the search,1
11, The query will retrieve the no,1
12," of seeds and peers, the file size, the date posted, and a link to the webpage",1
13," If no results are found on a search, it will display the message ""No results were found for this search",1
14,""" Results will be arranged in size/date/alphabetical order by clicking on the column headers",1
15, There will be a page button for the user to navigate the results,1
